ID,Holding
0x03027c72eef8d67e2e21ba5c6186ff69c98db6fd,544152000000000000
0x030a37f7505401936b0c2208659b043d62e57a8f,26320890572502286085
0x030c6ba64a20b1a8392de0fa69fb0bfd1ace99ee,467957545456
0x03665aa7ea9035a13d6569c6093e21fd16c11c7d,11000000000000000000
0x038baf880ab8087046c467bab5447df99416bb08,32000000000000000000
0x03a507043314ef13a83afffbaf15d89055f64666,30000000000000000000
0x03a6d45e15cdfea356423eed8cc1322ce85efa34,540490497993099141304
0x03d591a72b33a73fb0e4a0f2750b3d076c2dd705,350000000000000000000
0x03ee1e0e4eaa0ef034ac81831fae674135a4995a,100086954000000000000
0x03f7f340e71660ae72f72906f09dba3ceaa5daef,104133189337015914238
0x03f95fb4c6c679750d75455aa9622433768a5264,7842
0x042b1a7ab3253320ed833e746126a92debcd3d50,26026762700951793866
0x042bdc80b275d975bacaf1f40fab2e0c11039876,10000000000000000000
0x043b44fc60c7d19b7238fd783d277e0ab810be19,730000000000000000000
0x04412b403a4b6d2f00d8bf93f1e6a5bcdd80d560,7641319611214568495
0x046825bfd2ab4562e0308e48526b779fd897d539,346425926961275894276
0x047f4b04db2ad47dc807e53e2235b2c45a75b9c7,1000000000000000000
0x048b1dd99b59a3cf3c089aff683e8f6cdf7a4327,2000000000000000000
0x04b970b2539e98755438e6da19b204f102dde11e,99122320772903456390
0x04c3a4011d17dfd8650ada24f0a0baa6c4fe43d5,4224430688257523009
0x04e45dc9785cecd1a2ccfb40ad70ad70b3f10d45,342148484331
0x04e98aed241f0539a322dcb0a475f09ec6ae34d7,78287204315587000376
0x04f004eb2431e8f79fe0c671c807ecb2f5cc71ff,299171194465556514753
0x04f9a06c3e2d2327195ac45d4f0116d7dc570cd3,3336371860689663347
0x050ee0f6e39206fa8b95894cb3d5370fc4a03488,4618398851659571121
0x0517c0270e15648ee891e3bed97b3adaaa5e9fff,5000000000000000000
0x054becf10c79afa4e60f75b187837be9fb83867d,48520932108116641919
0x055f981ec2be069158fc8153653d762462c9ddec,50000000000000000000
0x0573b2f29ab41d9bdfe769b634ee8cb6cfef92d6,80257518573697
0x0588fb83c14187ef6be53541fbad88f435a93527,13000000000000000000000
0x058c0837fb875ca021d9f1258bb4f4cf15e682b1,2000000000000000000
0x05c4bf7b6ea1b35e1922283742b54fb45a867595,42000000793286422973
0x05dfb4b9f934cf19d0aec761ba1fece4f37c930c,293277495038555414
0x05f4b847ae188662f9f2ada01149599bbcbf3158,5000000000000000000
0x06323cc940384f47bcdaac78d3dca3fb6455db46,92151708665149361986
0x065aba278611d789dfe6ca4715f7ad325cb582a6,37000000000000000000
0x0689de902165915c76bea83e072f29921ec369eb,50000000000000000000
0x06bc694f1653cbddde1862a2e0830a3dd43a50be,24222000000000000000
